"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 28 16:31:00 EDT 2022","Sat May 28 16:31:50 EDT 2022","49526","","E-Commerce Site Functionality: Product Page","","E-Commerce Site Functionality: Product Page","When I click on Shop Page","When I click on Shop Page",""
"passed","Sat May 28 16:31:50 EDT 2022","Sat May 28 16:31:52 EDT 2022","2530","","E-Commerce Site Functionality: Product Page","","E-Commerce Site Functionality: Product Page","When I click on Catageory Link","When I click on Catageory Link",""
"passed","Sat May 28 16:31:52 EDT 2022","Sat May 28 16:32:12 EDT 2022","19397","","E-Commerce Site Functionality: Product Page","","E-Commerce Site Functionality: Product Page","Then should click on Shop Page","Then should click on Shop Page",""
"passed","Sat May 28 16:30:37 EDT 2022","Sat May 28 16:30:55 EDT 2022","17724","","E-Commerce Site Functionality: Product Page","","E-Commerce Site Functionality: Product Page","Given I am on the product page","Given I am on the product page",""
"passed","Sat May 28 16:32:49 EDT 2022","Sat May 28 16:32:56 EDT 2022","7679","","E-Commerce Site Functionality: Checkout Page","","E-Commerce Site Functionality: Checkout Page","Then send in 1234 Grovestreet Lane address, purchase and get confirmation","Then send in 1234 Grovestreet Lane address, purchase and get confirmation",""
"passed","Sat May 28 16:29:36 EDT 2022","Sat May 28 16:29:36 EDT 2022","632","","E-Commerce Site Functionality: Logging onto Website","","E-Commerce Site Functionality: Logging onto Website","When I login with academy and learning","When I login with academy and learning",""
"passed","Sat May 28 16:29:54 EDT 2022","Sat May 28 16:29:56 EDT 2022","2375","","E-Commerce Site Functionality: Logging onto Website","","E-Commerce Site Functionality: Logging onto Website","Given I am on the login page","Given I am on the login page",""
"passed","Sat May 28 16:29:59 EDT 2022","Sat May 28 16:30:37 EDT 2022","37878","","E-Commerce Site Functionality: Logging onto Website","","E-Commerce Site Functionality: Logging onto Website","Then should click on Sign In","Then should click on Sign In",""
"passed","Sat May 28 16:29:57 EDT 2022","Sat May 28 16:29:59 EDT 2022","2041","","E-Commerce Site Functionality: Logging onto Website","","E-Commerce Site Functionality: Logging onto Website","When select correct user and stud","When select correct user and stud",""
"passed","Sat May 28 16:32:12 EDT 2022","Sat May 28 16:32:12 EDT 2022","4","","E-Commerce Site Functionality: Product Page","","E-Commerce Site Functionality: Product Page","","",""
"passed","Sat May 28 16:29:56 EDT 2022","Sat May 28 16:29:57 EDT 2022","396","","E-Commerce Site Functionality: Logging onto Website","","E-Commerce Site Functionality: Logging onto Website","When I login with rahulshettyacademy and learning","When I login with rahulshettyacademy and learning",""
"broken","Sat May 28 16:29:17 EDT 2022","Sat May 28 16:29:27 EDT 2022","10432","","E-Commerce Site Functionality: Logging onto Website","","E-Commerce Site Functionality: Logging onto Website","When select correct user and teach","When select correct user and teach",""
"passed","Sat May 28 16:32:47 EDT 2022","Sat May 28 16:32:49 EDT 2022","1606","","E-Commerce Site Functionality: Checkout Page","","E-Commerce Site Functionality: Checkout Page","When remove necessary products Nokia Edge and checkout","When remove necessary products Nokia Edge and checkout",""
"passed","Sat May 28 16:32:44 EDT 2022","Sat May 28 16:32:47 EDT 2022","2703","","E-Commerce Site Functionality: Checkout Page","","E-Commerce Site Functionality: Checkout Page","When I add iphone X,Blackberry,Nokia Edge to Cart and go to Checkout Page","When I add iphone X,Blackberry,Nokia Edge to Cart and go to Checkout Page",""
"passed","Sat May 28 16:30:55 EDT 2022","Sat May 28 16:30:58 EDT 2022","3814","","E-Commerce Site Functionality: Product Page","","E-Commerce Site Functionality: Product Page","When I click on Home Page","When I click on Home Page",""
"passed","Sat May 28 16:30:37 EDT 2022","Sat May 28 16:30:37 EDT 2022","3","","E-Commerce Site Functionality: Logging onto Website","","E-Commerce Site Functionality: Logging onto Website","","",""
"passed","Sat May 28 16:32:12 EDT 2022","Sat May 28 16:32:44 EDT 2022","32478","","E-Commerce Site Functionality: Checkout Page","","E-Commerce Site Functionality: Checkout Page","Given I am on the product page","Given I am on the product page",""
"passed","Sat May 28 16:32:56 EDT 2022","Sat May 28 16:32:56 EDT 2022","1","","E-Commerce Site Functionality: Checkout Page","","E-Commerce Site Functionality: Checkout Page","","",""
"passed","Sat May 28 16:29:17 EDT 2022","Sat May 28 16:29:17 EDT 2022","480","","E-Commerce Site Functionality: Logging onto Website","","E-Commerce Site Functionality: Logging onto Website","When I login with rahulshettyacademy and learnign123","When I login with rahulshettyacademy and learnign123",""
"passed","Sat May 28 16:29:59 EDT 2022","Sat May 28 16:29:59 EDT 2022","120","","E-Commerce Site Functionality: Logging onto Website","","E-Commerce Site Functionality: Logging onto Website","When agree to terms and conditions","When agree to terms and conditions",""
"passed","Sat May 28 16:29:36 EDT 2022","Sat May 28 16:29:40 EDT 2022","3654","","E-Commerce Site Functionality: Logging onto Website","","E-Commerce Site Functionality: Logging onto Website","When select correct user and consult","When select correct user and consult",""
"passed","Sat May 28 16:30:58 EDT 2022","Sat May 28 16:31:00 EDT 2022","1831","","E-Commerce Site Functionality: Product Page","","E-Commerce Site Functionality: Product Page","When submit form for future email promotions with Slomo Chacko, slomochacko0@gmail.com, webdriverio, Female, Student, and 1998-06-10","When submit form for future email promotions with Slomo Chacko, slomochacko0@gmail.com, webdriverio, Female, Student, and 1998-06-10",""
